地区,人均GDP(元),人均可支配收入(元),收入占GDP比重,人均GDP排名,收入排名
上海,228434,91987,40.27%,2,1
北京,238705,89090,37.32%,1,2
浙江,141418,70240,49.67%,5,3
江苏,167040,57971,34.70%,3,4
天津,135972,55918,41.12%,6,5
广东,113769,53669,47.17%,7,6
福建,143623,50302,35.02%,4,7
山东,102567,44180,43.07%,11,8
内蒙古,112181,41921,37.37%,8,9
辽宁,80094,41703,52.07%,19,10
重庆,105874,41580,39.27%,10,11
湖南,84888,39545,46.58%,14,12
湖北,107619,38881,36.13%,9,13
安徽,86832,38755,44.63%,13,14
江西,80259,37846,47.15%,18,15
河北,66936,36439,54.44%,26,16
海南,77117,36306,47.08%,21,17
四川,81124,36120,44.52%,17,18
陕西,92663,35790,38.62%,12,19
宁夏,77981,35184,45.12%,20,20
山西,74223,33923,45.70%,22,21
西藏,81502,33600,41.23%,16,22
河南,68240,33215,48.67%,25,23
新疆,81574,32881,40.31%,15,24
吉林,64906,32881,50.66%,27,25
黑龙江,55980,32851,58.68%,30,26
广西,59443,32721,55.05%,29,27
青海,69567,31661,45.51%,24,28
云南,70472,31311,44.43%,23,29
贵州,61066,30001,49.13%,28,30
甘肃,55897,28224,50.49%,31,31
全国,99665,43377,43.52%,,
